site_id,site_name_long,site_name_short,water_body,latitude,longitude
369,PORT PHILLIP BAY WERRIBEE SEG. EPA #369,Long Reef,Port Phillip  Bay,-38.02932358,144.5928192
939,PORT PHILLIP BAY   N.E.   SEG. EPA #939,Patterson River,Port Phillip  Bay,-38.07698059,145.1150055
1229,PORT PHILLIP BAY CENTRAL SEGMENT MSG #1229,Central,Port Phillip  Bay,-38.0570335388183,144.870407104492
1282,PORT PHILLIP BAY S.E. SEGMENT MSG #1282,Dromana,Port Phillip  Bay,-38.3034057617187,144.991317749023
1911,PORT PHILLIP BAY  CORIO   SEG. EPA #1911,Corio,Port Phillip  Bay,-38.1009674072265,144.398727416992
1991,PORT PHILLIP BAY  HOBSON  SEG. EPA #1991,Hobsons Bay,Port Phillip  Bay,-37.870189666748,144.933807373046
2097,PORT OF MELBOURNE DMG (B),DMG (B),Port Phillip  Bay,-38.0084,144.881
2100,POPES EYE,Popes Eye,Port Phillip  Bay,-38.275,144.6989
2099,SORRENTO BANK,Sorrento,Port Phillip  Bay,-38.3303,144.7641
2098,MIDDLE GROUND SHELF,Middle Ground Shelf,Port Phillip  Bay,-38.3129,144.8686
2096,YARRA RIVER NEWPORT POWER STATION,Newport,Port Phillip  Bay,-37.842,144.8985
