date,name,id,description,start,end,location,tags,image
2025-09-19 14:00:00+00:00,Beach Clean-up,6e31457f67c54a3a81519e204b2aa211,Join the community to remove plastics and keep Port Phillip Bay clean.,2025-09-19 23:30:00+00:00,2025-09-20 01:30:00+00:00,Port Melbourne,"['community', 'plastics', 'kids']",clean-up.png
2025-09-05 14:00:00+00:00,Shell & Fish Count Walk,33cd8a19380b40458b57f4b6632abc73,Join a guided walk to record the number of shells or small fish you see along the shore.,2025-09-05 23:30:00+00:00,2025-09-06 01:00:00+00:00,St Kilda,"['shell-walk', 'fish-count', 'beach-walk']",shell-fish.png
2025-09-09 14:00:00+00:00,Poster-Making for Schools,0d0689c7cbd4442597f337a4df873345,Create colorful “Protect the Bay” posters to share in your classroom.,2025-09-10 05:30:00+00:00,2025-09-10 07:00:00+00:00,Luna Park,"['poster-making', 'art-for-ocean']",poster-marking.png
2025-09-12 14:00:00+00:00,Seashell Art Workshop,0e9198874e724e31b8845b76b845bed9,Collect clean seashells and turn them into creative art pieces that remind everyone to protect the bay.,2025-09-13 00:00:00+00:00,2025-09-13 01:30:00+00:00,Cherry Lake,"['art-workshop', 'marine-education']",seashell-art.png
2025-09-26 14:00:00+00:00,Garden Treasure Hunt,1ad640a7b85f423e829238b2cc5f38c5,Explore plants and join a fun treasure hunt while learning how gardens help the ocean.,2025-09-27 04:00:00+00:00,2025-09-27 05:00:00+00:00,Geelong Botanical Gardens,"['treasure-hunt', 'ocean-awareness']",
2025-09-27 14:00:00+00:00,Mangrove Protection Walk,502381428596417bab9b5f38c31015ab,Discover mangroves and help clean rubbish to protect the shoreline and sea creatures.,2025-09-27 23:30:00+00:00,2025-09-28 01:00:00+00:00,Altona Foreshore,"['wildlife-care', 'ocean-conservation']",
2025-09-27 14:00:00+00:00,Bird-Watching Day,f990c189b337454e98cc47570a36ddfd,Spot swans and ducks while learning how wetlands keep our bay clean. ,2025-09-27 22:30:00+00:00,2025-09-28 00:00:00+00:00,Laverton Wetlands,"['bird-watching', 'ocean-health']",
2025-09-26 14:00:00+00:00,Coastal Tree Planting,26ff1ae3c910411abd8fc1c5baf18599,Plant native trees and shrubs to stop erosion and create safe habitats for animals.,2025-09-26 23:00:00+00:00,2025-09-27 01:00:00+00:00,Newport Coastal Reserve,"['tree-planting', 'ocean-conservation']",
2025-09-26 14:00:00+00:00,Seagrass Discovery Snorkel,abcb906e431841cdaf186ba530dca9dd,Try snorkeling to see seagrass meadows and the fish that live in them.,2025-09-27 01:00:00+00:00,2025-09-27 02:30:00+00:00,Mordialloc Beach,"['marine-life', 'mordialloc-beach']",
2025-09-27 14:00:00+00:00,Beach Safety Patrol,82955606781048fd913a24e45bc70d3e,Learn from lifeguards about beach safety and why clean water matters.,2025-09-28 00:00:00+00:00,2025-09-28 01:00:00+00:00,Port Melbourne Beach,"['lifeguard-education', 'clean-water']",
2025-09-27 14:00:00+00:00,Rock Pool Explorer,bd010206077b485d90c1cc3939773bb6,"Search for crabs, starfish, and sea snails in shallow rock pools with your family.",2025-09-28 04:00:00+00:00,2025-09-28 05:30:00+00:00,Dromana Beach,"['nature-learning', 'rock-pool-exploration']",
2025-09-26 14:00:00+00:00,Paddle-Board Fun,65f6b556558b4eff8da03a47b1495afb,Try paddle boarding safely while spotting seabirds and dolphins.,2025-09-27 05:00:00+00:00,2025-09-27 06:30:00+00:00,Capel Sound Beach,"['dolphin-spotting', 'water-safety']",
2025-09-27 14:00:00+00:00,Marine Life Drawing,d1c29d4878494420b76214e41722a9f2,"Draw dolphins, turtles, and penguins while learning ocean fun facts.",2025-09-28 01:00:00+00:00,2025-09-28 02:30:00+00:00,Mornington Community Centre,"['art-and-nature', 'ocean-fun-facts']",
2025-09-26 14:00:00+00:00,Beach Theatre,16212c1b62e742e58d10727ba5b28402,Watch kid-friendly plays about marine life and protecting the bay.,2025-09-27 07:00:00+00:00,2025-09-27 08:00:00+00:00,Frankston Foreshore,"['beach-theatre', 'bay-protection']",
2025-09-27 14:00:00+00:00,Penguin & Bathing Box Adventure,db67e66e19944de5a915d3071e2898b7,Visit Brighton’s colorful bathing boxes and see penguins at St Kilda at sunset.,2025-09-28 06:00:00+00:00,2025-09-28 08:00:00+00:00,Brighton Beach & St Kilda Beach,"['sunset-adventure', 'penguin-watching']",
