common_name,scientific_name,group,occurrence_in_ppb
Elephant Fish,Callorhinchus milii,Chimaera (holocephalan),Occasional
Spotted Wobbegong,Orectolobus maculatus,Elasmobranch (carpet shark),Rare
Banded Stingaree,Urolophus cruciatus,Elasmobranch (ray),Fairly common
Smooth Stingray,Bathytoshia brevicaudata,Elasmobranch (ray),Fairly common
Southern Fiddler Ray (Banjo),Trygonorrhina dumerilii,Elasmobranch (ray),Fairly common
Sparsely-spotted Stingaree,Urolophus paucimaculatus,Elasmobranch (ray),Occasional
Gummy Shark,Mustelus antarcticus,Elasmobranch (shark),Fairly common
Port Jackson Shark,Heterodontus portusjacksoni,Elasmobranch (shark),Fairly common
School Shark,Galeorhinus galeus,Elasmobranch (shark),Rare
Big-bellied Seahorse,Hippocampus abdominalis,Syngnathid,Occasional
Briggs' Pipefish,Histiogamphelus briggsii,Syngnathid,Occasional
Port Phillip Pipefish,Vanacampus phillipi,Syngnathid,Fairly common
Shorthead Seahorse,Hippocampus breviceps,Syngnathid,Fairly common
Spiny Pipehorse,Solegnathus spinosissimus,Syngnathid,Rare
Spotted Pipefish,Stigmatopora argus,Syngnathid,Fairly common
Weedy Seadragon,Phyllopteryx taeniolatus,Syngnathid,Occasional
Widebody Pipefish,Stigmatopora nigra,Syngnathid,Fairly common
Australian Anchovy,Engraulis australis,Teleost,Common
Australian Herring (Tommy Ruff),Arripis georgianus,Teleost,Fairly common
Australian Salmon (Eastern),Arripis trutta,Teleost,Fairly common
Australian Sardine (Pilchard),Sardinops sagax,Teleost,Fairly common
Black Bream,Acanthopagrus butcheri,Teleost,Fairly common
Blue-striped Goatfish,Upeneichthys lineatus,Teleost,Fairly common
Bluefin Gurnard,Chelidonichthys kumu,Teleost,Occasional
Dusky Morwong,Dactylophora nigricans,Teleost,Fairly common
Eastern School Whiting,Sillago flindersi,Teleost,Occasional
Estuary Perch,Macquaria colonorum,Teleost,Occasional
Herring Cale,Olisthops cyanomelas,Teleost,Fairly common
Jack Mackerel,Trachurus declivis,Teleost,Occasional
Jackass Morwong,Nemadactylus macropterus,Teleost,Occasional
John Dory,Zeus faber,Teleost,Occasional
King George Whiting,Sillaginodes punctatus,Teleost,Common
Longsnout Boarfish,Pentaceropsis recurvirostris,Teleost,Occasional
Luderick (Blackfish),Girella tricuspidata,Teleost,Fairly common
Magpie Perch,Goniistius nigripes,Teleost,Occasional
Mulloway (Jewfish),Argyrosomus japonicus,Teleost,Occasional
Old Wife,Enoplosus armatus,Teleost,Fairly common
Rock Flathead,Platycephalus laevigatus,Teleost,Fairly common
Sand Flathead,Platycephalus bassensis,Teleost,Common
Sea Mullet,Mugil cephalus,Teleost,Fairly common
Sea Sweep,Scorpis aequipinnis,Teleost,Fairly common
Silver Trevally,Pseudocaranx georgianus,Teleost,Common
Southern Blue Devil,Paraplesiops meleagris,Teleost,Occasional
Southern Bluespotted Flathead,Platycephalus speculator,Teleost,Fairly common
Southern Garfish,Hyporhamphus melanochir,Teleost,Fairly common
Tiger Flathead,Neoplatycephalus richardsoni,Teleost,Occasional
Yellow-eye Mullet,Aldrichetta forsteri,Teleost,Common
Yellowtail Kingfish,Seriola lalandi,Teleost,Occasional
Yellowtail Scad,Trachurus novaezelandiae,Teleost,Fairly common
Zebra Fish,Girella zebra,Teleost,Occasional
Tasselled Anglerfish,Rhycherus filamentosus,Teleost (anglerfish),Rare
Snook,Sphyraena novaehollandiae,Teleost (barracuda),Occasional
Snapper,Pagrus auratus,Teleost (bony fish),Common
Ornate Cowfish,Aracana ornata,Teleost (boxfish),Fairly common
Shaw's Cowfish,Aracana aurita,Teleost (boxfish),Fairly common
Bigscale Bullseye,Pempheris multiradiata,Teleost (bullseye),Occasional
Common Weedfish,Heteroclinus perspicillatus,Teleost (clinid),Fairly common
Crested Weedfish,Cristiceps australis,Teleost (clinid),Occasional
Sevenbar Weedfish,Heteroclinus heptaeolus,Teleost (clinid),Occasional
Victorian Scalyfin,Parma victoriae,Teleost (damselfish),Fairly common
Shortfin Eel,Anguilla australis,Teleost (eel),Occasional
Chinaman Leatherjacket,Nelusetta ayraud,Teleost (filefish),Occasional
Fan-belly Leatherjacket,Monacanthus chinensis,Teleost (filefish),Fairly common
Horseshoe Leatherjacket,Meuschenia hippocrepis,Teleost (filefish),Fairly common
Mosaic Leatherjacket,Eubalichthys mosaicus,Teleost (filefish),Rare
Rough Leatherjacket,Scobinichthys granulatus,Teleost (filefish),Fairly common
Sixspine Leatherjacket,Meuschenia freycineti,Teleost (filefish),Fairly common
Southern Pygmy Leatherjacket,Brachaluteres jacksonianus,Teleost (filefish),Fairly common
Striped Leatherjacket,Acanthaluteres vittiger,Teleost (filefish),Fairly common
Velvet Leatherjacket,Meuschenia scaber,Teleost (filefish),Occasional
Yellowfin Leatherjacket,Meuschenia flavolineata,Teleost (filefish),Fairly common
Greenback Flounder,Rhombosolea tapirina,Teleost (flatfish),Fairly common
Longsnout Flounder,Ammotretis rostratus,Teleost (flatfish),Fairly common
Southern Sand Flounder,Pseudorhombus jenynsii,Teleost (flatfish),Fairly common
Spotted Flounder,Arnoglossus scapha,Teleost (flatfish),Occasional
Bluespotted Goby,Favonigobius lateralis,Teleost (goby),Common
Bridled Goby,Arenigobius bifrenatus,Teleost (goby),Common
Australian Bonito,Sarda australis,Teleost (mackerel),Rare
Southern Hulafish,Trachinops caudimaculatus,Teleost (pondfish),Fairly common
Southern Porcupinefish,Diodon nicthemerus,Teleost (porcupinefish),Fairly common
Smooth Toadfish,Tetractenos glaber,Teleost (puffer),Common
Common Gurnard Perch,Neosebastes scorpaenoides,Teleost (scorpaenid),Occasional
Barber Perch,Caesioperca rasor,Teleost (sea perch),Occasional
Smallmouth Hardyhead,Atherinosoma microstoma,Teleost (silverside),Fairly common
Blue Weed Whiting,Haletta semifasciata,Teleost (wrasse),Fairly common
Blue-throated Wrasse,Notolabrus tetricus,Teleost (wrasse),Fairly common
Senator Wrasse,Pictilabrus laticlavius,Teleost (wrasse),Fairly common
