site_id,site_name_short,water_body,date,type,do_mg,sal,tss,n_total,p_po4,p_total
1229,Central,Port Phillip  Bay,1984-07-19,surface,8.3,40.0,4.3,200.0,60.0,76.0
1911,Corio,Port Phillip  Bay,1984-07-19,surface,7.9,39.0,3.4,200.0,77.0,91.0
1991,Hobsons Bay,Port Phillip  Bay,1984-07-19,surface,7.9,40.0,5.1,380.0,62.0,78.0
1229,Central,Port Phillip  Bay,1984-08-06,surface,8.8,38.0,2.8,160.0,54.0,68.0
1911,Corio,Port Phillip  Bay,1984-08-06,surface,8.4,38.0,4.5,280.0,86.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1984-08-06,surface,8.8,38.0,3.9,230.0,71.0,86.0
1229,Central,Port Phillip  Bay,1984-08-15,surface,7.9,39.0,3.4,220.0,56.0,67.0
1911,Corio,Port Phillip  Bay,1984-08-15,surface,8.1,39.0,4.3,200.0,73.0,90.0
1991,Hobsons Bay,Port Phillip  Bay,1984-08-15,surface,7.3,38.0,6.8,550.0,140.0,160.0
1229,Central,Port Phillip  Bay,1984-08-30,surface,8.2,38.0,2.4,,53.0,63.0
1911,Corio,Port Phillip  Bay,1984-08-30,surface,8.1,39.0,3.1,,73.0,85.0
1991,Hobsons Bay,Port Phillip  Bay,1984-08-30,surface,7.9,38.0,3.4,160.0,60.0,71.0
1229,Central,Port Phillip  Bay,1984-09-13,surface,7.9,38.0,3.2,,58.0,76.0
1911,Corio,Port Phillip  Bay,1984-09-13,surface,7.8,39.0,3.2,300.0,72.0,87.0
1991,Hobsons Bay,Port Phillip  Bay,1984-09-13,surface,7.7,38.0,2.5,180.0,63.0,85.0
1229,Central,Port Phillip  Bay,1984-11-20,surface,7.5,37.0,2.8,170.0,48.0,67.0
1911,Corio,Port Phillip  Bay,1984-11-20,surface,6.9,38.0,3.4,240.0,69.0,94.0
1991,Hobsons Bay,Port Phillip  Bay,1984-11-20,surface,7.1,38.0,3.0,270.0,82.0,120.0
1229,Central,Port Phillip  Bay,1984-12-10,surface,7.0,38.0,2.6,160.0,57.0,77.0
1911,Corio,Port Phillip  Bay,1984-12-10,surface,6.7,40.0,4.4,220.0,70.0,91.0
1991,Hobsons Bay,Port Phillip  Bay,1984-12-10,surface,6.5,38.0,5.3,260.0,74.0,110.0
1229,Central,Port Phillip  Bay,1985-01-23,surface,6.6,38.0,11.0,190.0,58.0,73.0
1911,Corio,Port Phillip  Bay,1985-01-23,surface,6.8,40.0,19.0,190.0,66.0,86.0
1991,Hobsons Bay,Port Phillip  Bay,1985-01-23,surface,6.7,38.0,6.9,200.0,66.0,85.0
1229,Central,Port Phillip  Bay,1985-02-06,surface,6.8,34.0,2.8,140.0,58.0,65.0
1911,Corio,Port Phillip  Bay,1985-02-06,surface,6.8,35.0,4.8,190.0,70.0,89.0
1991,Hobsons Bay,Port Phillip  Bay,1985-02-06,surface,6.8,35.0,4.0,210.0,91.0,110.0
1229,Central,Port Phillip  Bay,1985-02-20,surface,7.3,33.0,9.6,150.0,50.0,61.0
1911,Corio,Port Phillip  Bay,1985-02-20,surface,7.2,34.0,13.0,190.0,69.0,86.0
1991,Hobsons Bay,Port Phillip  Bay,1985-02-20,surface,6.9,33.0,15.0,160.0,64.0,80.0
1229,Central,Port Phillip  Bay,1985-03-06,surface,6.5,35.0,15.0,180.0,58.0,76.0
1911,Corio,Port Phillip  Bay,1985-03-06,surface,6.0,35.0,13.0,210.0,73.0,96.0
1991,Hobsons Bay,Port Phillip  Bay,1985-03-06,surface,6.3,34.0,15.0,230.0,82.0,100.0
1229,Central,Port Phillip  Bay,1985-03-21,surface,6.1,38.0,11.0,160.0,54.0,68.0
1911,Corio,Port Phillip  Bay,1985-03-21,surface,5.7,38.0,15.0,240.0,70.0,96.0
1991,Hobsons Bay,Port Phillip  Bay,1985-03-21,surface,6.7,39.0,14.0,220.0,74.0,96.0
1229,Central,Port Phillip  Bay,1985-05-01,surface,6.1,35.0,18.0,180.0,57.0,74.0
1991,Hobsons Bay,Port Phillip  Bay,1985-05-01,surface,6.2,33.0,14.0,180.0,65.0,84.0
1229,Central,Port Phillip  Bay,1985-05-15,surface,7.0,34.0,11.0,160.0,62.0,77.0
1911,Corio,Port Phillip  Bay,1985-05-15,surface,7.2,34.0,22.0,230.0,80.0,100.0
1229,Central,Port Phillip  Bay,1985-05-30,surface,7.5,35.0,2.9,170.0,61.0,77.0
1911,Corio,Port Phillip  Bay,1985-05-30,surface,6.9,35.0,1.7,200.0,83.0,97.0
1991,Hobsons Bay,Port Phillip  Bay,1985-05-30,surface,7.3,34.0,2.2,190.0,73.0,89.0
1229,Central,Port Phillip  Bay,1985-06-27,surface,8.1,34.0,14.0,,59.0,69.0
1911,Corio,Port Phillip  Bay,1985-06-27,surface,8.0,33.0,21.0,210.0,86.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,1985-06-27,surface,7.9,34.0,14.0,190.0,57.0,71.0
