site_id,site_name_short,latitude,longitude,latest_date,cutoff_date,records_count,DO_mg_mean,TSS_mean,Sal_mean,N_TOTAL_mean,P_PO4_mean,P_TOTAL_mean,avg_water_quality_score,avg_quality_level,avg_quality_label,DO_mg_avg_score,TSS_avg_score,Sal_avg_score,N_TOTAL_avg_score,P_PO4_avg_score,P_TOTAL_avg_score,avg_water_quality_simple
1229,Central,-38.0570335388183,144.870407104492,2024-05-16,2023-05-17,8,8.1375,1.925,34.375,218.75,47.125,63.75,1.5,2,orange,0,0,0,3,3,3,good
1911,Corio,-38.1009674072265,144.398727416992,2024-05-16,2023-05-17,8,8.175,6.9750000000000005,35.375,256.25,58.5,82.5,1.7,2,orange,0,1,0,3,3,3,good
1991,Hobsons Bay,-37.870189666748,144.933807373046,2024-05-16,2023-05-17,8,8.0,5.612500000000001,33.125,260.0,54.625,77.5,1.7,2,orange,0,1,0,3,3,3,good
369,Long Reef,-38.02932358,144.5928192,2024-05-16,2023-05-17,8,8.4375,2.4124999999999996,34.75,323.75,102.375,135.0,1.5,2,orange,0,0,0,3,3,3,good
939,Patterson River,-38.07698059,145.1150055,2024-05-16,2023-05-17,8,8.6375,3.3,31.5,228.75,43.75,60.0,1.5,2,orange,0,0,0,3,3,3,good
1282,Dromana,-38.3034057617187,144.991317749023,2024-05-16,2023-05-17,8,8.385714285714284,2.8125,34.142857142857146,208.75,42.125,56.25,1.5,2,orange,0,0,0,3,3,3,good
2097,DMG (B),-38.0084,144.881,2011-12-15,2010-12-15,12,7.949999999999999,0.9958333333333332,34.166666666666664,181.66666666666666,48.583333333333336,67.91666666666667,1.75,3,darkred,1,0,0,3,3,3,bad
2098,Middle Ground Shelf,-38.3129,144.8686,2011-12-16,2010-12-16,13,7.6692307692307695,0.7323076923076923,34.69230769230769,143.84615384615384,34.46153846153846,49.15384615384615,1.75,3,darkred,1,0,0,3,3,3,bad
2099,Sorrento,-38.3303,144.7641,2011-12-16,2010-12-16,13,7.753846153846155,0.8723076923076925,35.0,118.46153846153847,22.46153846153846,33.30769230769231,1.75,3,darkred,1,0,0,3,3,3,bad
2100,Popes Eye,-38.275,144.6989,2014-12-19,2013-12-19,18,7.966666666666665,1.5316666666666665,36.0,103.33333333333333,18.083333333333332,23.333333333333332,1.75,3,darkred,1,0,0,3,3,3,bad
2096,Newport,-37.842,144.8985,2016-08-04,2015-08-05,24,8.015384615384615,4.591666666666667,33.0,378.3333333333333,66.83333333333333,86.66666666666667,1.5,2,orange,0,0,0,3,3,3,good
